index,params,platform,dataset,tool,measure,value,measure_label,dataset_label,platform_label,tool2,1_minus_value
panhuman-1,k31w15m2,ill,argos988,deacon,TPR,0.9999888941483961,Sensitivity,FDA-ARGOS bacteria,Illumina,deacon,1.1105851603909755e-05
panhuman-1,k31w15m2,ill,rsviruses17900,deacon,TPR,0.9999888941483961,Sensitivity,RefSeq viruses,Illumina,deacon,1.1105851603909755e-05
panhuman-1,k31w15m2,ont,argos988,deacon,TPR,0.9999581021005604,Sensitivity,FDA-ARGOS bacteria,ONT,deacon,4.1897899439646835e-05
panhuman-1,k31w15m2,ont,rsviruses17900,deacon,TPR,0.9999581021005604,Sensitivity,RefSeq viruses,ONT,deacon,4.1897899439646835e-05
default,default,ill,rsviruses17900,detaxizer,TPR,0.9957820957234714,Sensitivity,RefSeq viruses,Illumina,detaxizer,0.004217904276528572
default,default,ill,argos988,detaxizer,TPR,0.9957820957234714,Sensitivity,FDA-ARGOS bacteria,Illumina,detaxizer,0.004217904276528572
default,default,ont,rsviruses17900,detaxizer,TPR,0.9999374220875997,Sensitivity,RefSeq viruses,ONT,detaxizer,6.257791240027455e-05
default,default,ont,argos988,detaxizer,TPR,0.9999374220875997,Sensitivity,FDA-ARGOS bacteria,ONT,detaxizer,6.257791240027455e-05
standard,default,ill,rsviruses17900,detaxizer,TPR,0.999911605505215,Sensitivity,RefSeq viruses,Illumina,detaxizer-std,8.839449478503791e-05
standard,default,ill,argos988,detaxizer,TPR,0.999911605505215,Sensitivity,FDA-ARGOS bacteria,Illumina,detaxizer-std,8.839449478503791e-05
standard,default,ont,argos988,detaxizer,TPR,0.9999986686451503,Sensitivity,FDA-ARGOS bacteria,ONT,detaxizer-std,1.331354849698485e-06
standard,default,ont,rsviruses17900,detaxizer,TPR,0.9999986686451503,Sensitivity,RefSeq viruses,ONT,detaxizer-std,1.331354849698485e-06
human-t2t-hla,default,ill,rsviruses17900,hostile,TPR,0.9999017892412323,Sensitivity,RefSeq viruses,Illumina,hostile,9.82107587677028e-05
human-t2t-hla,default,ill,argos988,hostile,TPR,0.9999017892412323,Sensitivity,FDA-ARGOS bacteria,Illumina,hostile,9.82107587677028e-05
human-t2t-hla,default,ont,rsviruses17900,hostile,TPR,0.9999777382533019,Sensitivity,RefSeq viruses,ONT,hostile,2.2261746698060136e-05
human-t2t-hla,default,ont,argos988,hostile,TPR,0.9999777382533019,Sensitivity,FDA-ARGOS bacteria,ONT,hostile,2.2261746698060136e-05
hprc,default,ill,rsviruses17900,nohuman,TPR,0.9971937129793318,Sensitivity,RefSeq viruses,Illumina,nohuman,0.002806287020668208
hprc,default,ill,argos988,nohuman,TPR,0.9971937129793318,Sensitivity,FDA-ARGOS bacteria,Illumina,nohuman,0.002806287020668208
hprc,default,ont,rsviruses17900,nohuman,TPR,0.9999401609535424,Sensitivity,RefSeq viruses,ONT,nohuman,5.983904645756599e-05
hprc,default,ont,argos988,nohuman,TPR,0.9999401609535424,Sensitivity,FDA-ARGOS bacteria,ONT,nohuman,5.983904645756599e-05
panhuman-1,k31w15m2,ill,argos988,deacon,TNR,0.9999949330108728,Specificity,FDA-ARGOS bacteria,Illumina,deacon,5.066989127167076e-06
panhuman-1,k31w15m2,ill,rsviruses17900,deacon,TNR,0.9999300655192392,Specificity,RefSeq viruses,Illumina,deacon,6.993448076075826e-05
panhuman-1,k31w15m2,ont,argos988,deacon,TNR,0.9998611058405337,Specificity,FDA-ARGOS bacteria,ONT,deacon,0.00013889415946632955
panhuman-1,k31w15m2,ont,rsviruses17900,deacon,TNR,0.99881457157837,Specificity,RefSeq viruses,ONT,deacon,0.0011854284216300526
default,default,ill,rsviruses17900,detaxizer,TNR,0.9986468179894907,Specificity,RefSeq viruses,Illumina,detaxizer,0.0013531820105092685
