target,sample,containment1,containment1_hits,containment10,containment10_hits,length_bp,total_minimizers,contained_minimizers,median_nz_abundance
AC_000017.1 AdV-1,zmrp21.combined-segments,1.00000,2203,0.00000,0,35676,2203,2203,1
AF533012.1 HPIV-2,zmrp21.combined-segments,1.00000,995,0.00000,0,15654,995,995,1
AM749299.1 AdV-31,zmrp21.combined-segments,1.00000,2046,0.00000,0,33755,2046,2046,1
DQ099432.4 AdV-3,zmrp21.combined-segments,1.00000,2162,0.00000,0,35072,2162,2162,2
EU627591.1 HPIV-4,zmrp21.combined-segments,1.00000,1043,0.00000,0,17132,1043,1043,1
KC894166.1 HRV-1A,zmrp21.combined-segments,1.00000,452,0.00000,0,7096,452,452,1
KY674922.1 HPIV-3,zmrp21.combined-segments,1.00000,970,0.00000,0,15382,970,970,1
KY967364.1 RSV-A,zmrp21.combined-segments,1.00000,930,0.00000,0,14855,930,930,1
OL794390.1 HMPV,zmrp21.combined-segments,1.00000,811,0.00000,0,13149,811,811,1
ON311149.1 SARS-CoV-2,zmrp21.combined-segments,1.00000,1859,0.00000,0,29778,1859,1859,1
OZ035244.1 HCoV-229E,zmrp21.combined-segments,1.00000,1665,0.00000,0,26841,1665,1665,1
PV660323.1 HPIV-1,zmrp21.combined-segments,1.00000,947,0.00000,0,15412,947,947,1
CY018371.1 Flu-B-1,zmrp21.combined-segments,1.00000,907,0.00000,0,14222,907,907,1
CY033629.1 Flu-A-H1N1-NC-1,zmrp21.combined-segments,1.00000,813,0.00000,0,13292,813,813,1
KJ609211.1 Flu-A-H3N2-1,zmrp21.combined-segments,1.00000,814,0.00000,0,13290,814,814,1
KT180555.1 Flu-A-H1N1-NY-1,zmrp21.combined-segments,1.00000,801,0.00000,0,13130,801,801,1
TOTAL,zmrp21.combined-segments,1.00000,19418,0.00000,0,0,19418,19418,1
AC_000017.1 AdV-1,rsviruses17900,0.76033,1675,0.37631,829,35676,2203,1675,9
AF533012.1 HPIV-2,rsviruses17900,0.91156,907,0.19698,196,15654,995,907,8
AM749299.1 AdV-31,rsviruses17900,0.41691,853,0.31036,635,33755,2046,853,14
DQ099432.4 AdV-3,rsviruses17900,0.71184,1539,0.42276,914,35072,2162,1539,11
EU627591.1 HPIV-4,rsviruses17900,0.23586,246,0.06807,71,17132,1043,246,7
KC894166.1 HRV-1A,rsviruses17900,0.95796,433,0.10619,48,7096,452,433,6
KY674922.1 HPIV-3,rsviruses17900,0.58144,564,0.27423,266,15382,970,564,9
KY967364.1 RSV-A,rsviruses17900,0.47312,440,0.22366,208,14855,930,440,9
OL794390.1 HMPV,rsviruses17900,0.00863,7,0.00000,0,13149,811,7,5
ON311149.1 SARS-CoV-2,rsviruses17900,0.95374,1773,0.17267,321,29778,1859,1773,7
OZ035244.1 HCoV-229E,rsviruses17900,0.90270,1503,0.25706,428,26841,1665,1503,7
PV660323.1 HPIV-1,rsviruses17900,0.36536,346,0.06547,62,15412,947,346,6
CY018371.1 Flu-B-1,rsviruses17900,0.06615,60,0.00551,5,14222,907,60,6
CY033629.1 Flu-A-H1N1-NC-1,rsviruses17900,0.16974,138,0.04551,37,13292,813,138,7
KJ609211.1 Flu-A-H3N2-1,rsviruses17900,0.39435,321,0.05528,45,13290,814,321,7
KT180555.1 Flu-A-H1N1-NY-1,rsviruses17900,0.69913,560,0.04245,34,13130,801,560,6
TOTAL,rsviruses17900,0.58528,11365,0.21109,4099,0,19418,11365,8
